Key	English	French	Russian	Chinese (Simplified)	Japanese	Korean	Chinese (Traditional)	Thai	Indonesian	Italian	Spanish (Latin Americas)	Portuguese	Turkish	German	Notes
GENERIC/CompleteQuest_Response_000_007	Now, let’s see if there is a <Licence> you can apply for right now...	Voyons maintenant s'il y a une <Licence> que tu peux demander tout de suite...	А теперь посмотрим, есть ли <Licence>, на которую можно подать заявку...	来看看你目前可以申请的<Licence>…	じゃあ、今すぐ申請できる<Licence>がないか確認しようか…	이제 당장 신청할 수 있는 <Licence>이 있는지 확인해 볼까...	現在，來看看有沒有什麼你可以申請的<Licence>吧……	เอาละ มาดูกันว่าตอนนี้มี <Licence> อะไรบ้างที่เธอสามารถขอรับได้เลย...	Sekarang, ayo kita lihat apakah ada <Licence> yang bisa kamu minta...	Ora vediamo se c'è una <Licence> che puoi richiedere adesso...	Veamos si puedes solicitar alguna <Licence> ahora mismo…	Agora, vamos ver se há alguma <Licence> para a qual você já possa se candidatar...	Bakalım şu anda başvurabileceğin bir <Licence> var mı...	Mal sehen, ob es eine <Licence> gibt, die du jetzt beantragen könntest …	
GENERIC/CompleteQuest_Response_000_008	I’ll let you decide where the best place for this <itemName> is.	Je vais te laisser décider du meilleur emplacement pour ce(tte) <itemName>.	Тебе решать, где лучшего всего разместить <itemName>.	你可以自行决定这件<itemName>放置在什么地方适合。	この<itemName>をどこに置くかは、お任せするよ。	이 <itemName>에 딱 맞는 곳이 어딘지는 네가 결정하렴.	這個<itemName>要放哪裡，交給你決定。	ฉันจะให้เธอเลือกแล้วกันว่าจะตั้ง <itemName> ที่ไหนดี	Kamu yang menentukan di mana tempat terbaik untuk <itemName> ini.	Lascerò che sia tu a decidere qual è il posto migliore per questa <itemName>.	Te dejaré decidir cuál es el mejor lugar para la <itemName>.	Vou deixar você decidir qual é o melhor local para este <itemName>.	<itemName> için en iyi yerin neresi olacağına sen karar ver.	Ich überlasse es dir, zu entscheiden, wo die beste Stelle für diesen <itemName> ist.	
GENERIC/CompleteQuest_Response_000_009	<haha>Just be sure it's closeby!	<haha>Assure-toi seulement que ce soit à proximité !	<haha>Только убедись, что это поблизости!	<haha>不过别放到太远的位置！	<haha>念のため。すぐそばにだよ！	<haha>가까운 곳이기만 하면 된단다!	<haha>記得放在附近就好！	<haha>ขอแค่อย่าไปอยู่ที่ไหนไกลก็พอ!	<haha>Pastikan lokasinya dekat!	<haha>Assicurati solo che sia nelle vicinanze!	<haha>¡Solo asegúrate de que sea cerca!	<haha>Certifique-se apenas de ser aqui por perto!	<haha>Ama yakında olsun ha!	<haha>Achte nur darauf, dass es in der Nähe ist!	
GENERIC/CompleteQuest_Response_000_010	<glee>We want visitors to feel like part of the <IslandName> community while they are here!	<glee>Nous voulons que les visiteurs sentent qu'ils font partie de la communauté de <IslandName> quand ils sont ici !	<glee>Мы хотим, чтобы посетители ощутили себя частью сообщества острова <IslandName>, пока они здесь!	<glee>希望访客在这里感受到自己是属于<IslandName>社区的一份子！	<glee>お客さんの滞在中には、<IslandName>の一員と思って過ごしてほしいんだ！	<glee>사람들이 이곳에 머무는 동안 <IslandName> 주민이 된 것 같은 기분을 느꼈으면 좋겠구나!	<glee>我們希望遊客在<IslandName>這裡能感受到自己是這個社區的一份子！	<glee>เราอยากให้แขกที่มาเยือนรู้สึกเป็นส่วนหนึ่งของชุมชนเกาะ <IslandName>!	<glee>Kami ingin pengunjung merasa menjadi bagian dari masyarakat <IslandName> saat berada di sini!	<glee>Vogliamo che i visitatori si sentano parte della comunità di <IslandName> mentre sono qui!	<glee>Queremos que los visitantes se sientan parte de la comunidad de <IslandName> mientras estén aquí.	<glee>Nós queremos que os visitantes se sintam parte da comunidade de <IslandName> enquanto estiverem por aqui!	<glee>Ziyaretçiler buraya geldiklerinde <IslandName> topluluğunun bir parçası gibi hissetmelerini istiyoruz!	<glee>Wir möchten, dass sich unsere Besucher auf <IslandName> als Teil der Gemeinschaft fühlen, während sie hier sind!	
GENERIC/CompleteQuest_Response_000_011	Who knows, maybe we can convince him to set up a permanent shop here!	Qui sait, peut-être qu'on arrivera à le convaincre d'installer sa boutique ici de manière permanente !	Кто знает, может быть, мы убедим их обустроить здесь постоянную лавку!	谁知道呢，或许我们能够说服他在此开办永久商店！	なんとも言えないけど、ここに常設ショップを設置するよう説得できるかも知れないよ！	어쩌면 여기 제대로 된 가게를 차리도록 설득할 수 있을지도 몰라!	誰知道呢，也許我們可以說服他在這裡開一家永久的商店！	ไม่แน่ เราอาจจูงใจให้เขาเลือกมาตั้งร้านค้าถาวรที่นี่ก็ได้!	Siapa tahu, mungkin kita bisa meyakinkannya untuk mendirikan toko permanen di sini!	Chissà, forse riusciremo a convincerlo ad aprire qui un negozio permanente!	Quién sabe, quizás podamos convencerlo de que instale una tienda permanente aquí.	Bem, quem sabe conseguimos convencê-lo a abrir uma loja permanente aqui!	Kim bilir, belki onu burada kalıcı bir dükkân açmaya ikna edebiliriz!	Wer weiß, vielleicht können wir ihn davon überzeugen, hier dauerhaft ein Geschäft einzurichten!	
GENERIC/CompleteQuest_Response_000_012	<yes>Be sure to talk to me once you have placed the <itemName>.	<yes>N'oublie pas de revenir me parler une fois que tu auras placé le/la <itemName>.	<yes>Не забудь обратиться ко мне, когда разместишь <itemName>.	<yes>放置完<itemName>后，请记得来找我。	<yes><itemName>を設置したら、また話しかけてくれよ。	<yes><itemName> 배치를 하고 나면 꼭 내게 알려주렴.	<yes>等你放好<itemName>後，記得來找我聊聊喔！	<yes>พอตั้ง <itemName> เสร็จแล้วก็อย่าลืมมาคุยกับฉันนะ	<yes>Pastikan untuk berbicara denganku setelah meletakkan <itemName>.	<yes>Assicurati di parlare con me una volta che hai posizionato il <itemName>.	<yes>Háblame una vez que hayas colocado la <itemName>.	<yes>Volte e fale comigo depois de você ter colocado a <itemName>.	<yes><itemName> yerleştirildikten sonra gelip benimle konuş.	<yes>Sprich mich unbedingt an, wenn du die <itemName> platziert hast.	
GENERIC/CompleteQuest_Response_001_000	<thinking>Hmmmm....	<thinking>Hum....	<thinking>Хммм...	<thinking>呃…	<thinking>うーん…	<thinking>흐음...	<thinking>嗯…….	<thinking>ฮืมมมมม....	<thinking>Hmmmm....	<thinking>Hmmmm....	<thinking>Mmmmm…	<thinking>Hummmm....	<thinking>Hmm...	<thinking>Hmmmm …	
GENERIC/CompleteQuest_Response_001_001	<yes>I reckon if we spend a bit of money at his shop, he'll see it's worth while...	<yes>Je pense que si on dépense un peu d'argent dans sa boutique, il verra que cela en vaut la peine...	<yes>Полагаю, если мы потратим немного денег в его лавке, он поймет, что это того стоит...	<yes>我在想，如果可以去他店里小小消费一下，他肯定也会认为值得…	<yes>彼のショップで少々お金を使えば、試す価値はあるとわかってくれるだろう…	<yes>가게에 가서 돈을 좀 쓰면 그만한 가치가 있겠다고 생각할 거야...	<yes>我覺得如果我們在他的商店花點錢，他就會覺得值得了……	<yes>ฉันว่าถ้าเราซื้อของที่เต็นท์ของเขาพอสมควร เขาอาจจะรู้สึกว่าคุ้มที่จะลองดูสักตั้ง...	<yes>Kurasa jika kita membelanjakan sedikit uang di tokonya, dia akan merasa ini tidak akan sia-sia...	<yes>Penso che se spendiamo un po' di soldi nel suo negozio, capirà che ne vale la pena...	<yes>Creo que, si gastamos algo de dinero en su tienda, verá que vale la pena…	<yes>Eu acho que se nós gastarmos um pouco de dinheiro na loja dele, ele verá que vale a pena...	<yes>Bence dükkânında para harcarsak buranın yaşanır bir yer olduğunu düşünebilir...	<yes>Ich denke, wenn wir in seinem Geschäft ein bisschen Geld ausgeben, wird er sehen, dass es sich lohnt …	
GENERIC/CompleteQuest_Response_001_002	<yes>Oh, and we should show him how friendly people are around here!	<yes>Oh, et on devrait lui montrer à quel point les gens sont amicaux ici !	<yes>О, и стоит показать ему, какие дружелюбные здесь люди!	<yes>噢，我们应该带他看看这里的人们是多么友善！	<yes>ああ、それとここの住民はフレンドリーってことも教えてあげないと！	<yes>아, 그리고 이곳 사람들이 얼마나 친절한지도 보여줘야지!	<yes>對了，我們應該讓他看看這裡的人有多熱情！	<yes>เออใช่ เราควรแสดงให้เขาเห็นด้วยว่าคนแถวนี้เป็นมิตรขนาดไหน!	<yes>Oh, dan kita harus tunjukkan padanya betapa ramahnya orang-orang di sekitar sini!	<yes>Oh, e dovremmo mostrargli quanto sono amichevoli le persone da queste parti!	<yes>Ah, y deberíamos mostrarle lo amistosos que son todos aquí.	<yes>Ah, e temos de mostrar a ele como o pessoal daqui é amigável!	<yes>Tabi buradaki insanların ne kadar samimi olduğunu da ona göstermeliyiz!	<yes>Oh, und wir sollten ihm zeigen, wie freundlich die Menschen hier sind!	
GENERIC/CompleteQuest_Response_001_003	Why don't you ask <NPCName> if he has anything he needs done?	Pourquoi ne demandes-tu pas à <NPCName> s'il a besoin d'aide pour quelque chose ?	Почему ты не попросишь, может быть <NPCName> нуждается в какой-то работе?	如果<NPCName>有什么事，为何不去问他呢？	<NPCName>に何かやってほしいことがないか聞いてきてくれないか？	<NPCName>씨에게 필요한 게 있는지 물어보는 게 어떠니?	你怎麼不問問<NPCName>有沒有什麼需要幫忙的？	เธอลองไปถาม <NPCName> ดูสิว่าเขาต้องการอะไรไหม	Cobalah untuk bertanya pada <NPCName>, apakah ada sesuatu yang perlu dia lakukan?	Perché non chiedi a <NPCName> se c'è qualcosa che deve fare?	¿Por qué no le preguntamos a <NPCName> si necesita algo?	Por que você não pergunta ao <NPCName> se ele não precisa de ajuda com alguma coisa?	<NPCName>'a yapılması gereken bir işi olup olmadığını sorsana.	Warum fragst du <NPCName> nicht, ob es etwas für ihn zu erledigen gibt?	<NPCName> = John
GENERIC/CompleteQuest_Response_001_004	<haha>If we can prove to him that <IslandName> is a great place to move, I'm sure he'll ask to live here for good!	<haha>Si on peut lui prouver que <IslandName> est un superbe endroit où vivre, je suis sûr qu'il demandera à rester ici !	<haha>Если мы сможем ему доказать, что <IslandName> — отличное место для переезда, он точно захочет остаться здесь навсегда!	<haha>如果可以向他证明<IslandName>是移居的好选择，他肯定会申请长期在此居住！	<haha><IslandName>が引っ越しにおあつらえ向きの場所だと思ってもらえれば、永住したいと言ってくれるに違いない！	<haha><IslandName>이 이사 오기에 좋은 곳이라는 걸 보여준다면 분명히 여기서 계속 살고 싶어 할 거야!	<haha>如果我們能向他證明<IslandName>這裡是個很棒的地方，我相信他一定會想要長住下來！	<haha>ถ้าเราพิสูจน์ให้เขาเห็นได้ว่าเกาะ <IslandName> เหมาะสำหรับย้ายมาอยู่ ฉันเชื่อว่าเขาจะต้องขอย้ายมาลงหลักปักฐานที่นี่แน่นอน!	<haha>Jika kita bisa membuktikan padanya bahwa <IslandName> adalah tempat yang tepat untuk pindah, aku yakin dia akan meminta untuk tinggal di sini selamanya!	<haha>Se possiamo dimostrargli che <IslandName> è un ottimo posto in cui trasferirsi, sono sicuro che chiederà di vivere qui per sempre!	<haha>Si podemos demostrarle que <IslandName> es un gran lugar para vivir, creo que querrá mudarse definitivamente.	<haha>Se nós conseguirmos provar a ele que <IslandName> é um excelente lugar para viver, tenho certeza de que ele pedirá para morar aqui de vez!	<haha><IslandName> Adası'nın yaşanacak bir yer olduğunu ona kanıtlarsak eminim burada yaşamaya karar verecektir!	<haha>Wenn wir ihm beweisen können, dass <IslandName> ein großartiger Ort zum Leben ist, wird er ganz sicher darum bitten, hierher ziehen zu dürfen!	
GENERIC/CompleteQuest_Response_001_005	You’ll have to spend some <PermitPoints> to get them, but if you keep doing milestones you’ll make enough in no time.	Tu devras dépenser quelques <PermitPoints> pour les obtenir, mais si tu continues à obtenir des jalons, tu y arriveras en peu de temps.	Тебе нужно будет потратить на них немного <PermitPoints>, но если ты будешь и дальше проходить вехи, их скоро будет достаточно.	必须花费<PermitPoints>才能获得，不过继续努力完成里程碑，应该很快就可以攒够。	取得するには<PermitPoints>を使わなきゃいけない。でも、マイルストーンを着実に達成していればすぐに十分集まるだろう。	그러려면 <PermitPoints>를 좀 써야겠지만, 추억 조각을 계속 모은다면 금방 다시 쌓일 거란다.	你需要花點錢來取得<PermitPoints>，但只要你持續完成里程碑，很快就能賺到足夠的錢。	เธอจะต้องเอา <PermitPoints> มายื่นประกอบการขอด้วย แต่ถ้าเธอบรรลุเส้นชัยไปเรื่อยๆ อีกไม่นาน เธอก็จะมีแต้มมากพอ	Kamu harus mengeluarkan beberapa <PermitPoints> untuk mendapatkannya, tapi jika kamu terus melakukan milestone, kamu bisa mendapatkannya dalam waktu singkat.	Dovrai spendere un po' di <PermitPoints> per ottenerle, ma se continui a raggiungere obiettivi, ne guadagnerai abbastanza in poco tempo.	Deberás gastar algunos <PermitPoints> para conseguirlas, pero si sigues cumpliendo logros, tendrás suficientes en poco tiempo.	Você terá de gastar alguns <PermitPoints> para obtê-las, mas, se continuar conquistando prêmios, você ganhará o suficiente muito em breve.	Bunları almak için biraz <PermitPoints> harcaman gerekecek ama başarı kazandıkça yenilerini biriktirebilirsin.	Du musst einige <PermitPoints> ausgeben, um sie zu kriegen, aber wenn du weiterhin Meilensteine erreichst, wirst du in kürzester Zeit genügend beisammen haben.	
GENERIC/CompleteQuest_Response_001_006	As you get better at doing certain tasks, new <Licence> levels will open up too.	À mesure que tu t'améliores pour faire certaines tâches, de nouveaux niveaux de <Licence> deviendront disponibles.	По мере того как ты будешь лучше справляться с определенными задачами, будут открываться и новые уровни <Licence>.	随着特定任务的熟练程度提升，新的<Licence>等级也将开放。	あるタスクをうまくこなせるようになると、新しい<Licence>レベルも開放されるよ。	작업을 더 잘하게 되면 새로운 <Licence> 레벨도 열릴 거야.	隨著你越來越熟練，也會解鎖新的<Licence>等級喔！	เมื่อเธอทำบางอย่างได้ชำนาญขึ้น เธอก็จะมีสิทธิ์ขอรับ <Licence> ระดับใหม่ๆ ด้วย	Saat kamu makin baik dalam melakukan tugas tertentu, level <Licence> yang baru juga akan terbuka.	Man mano che migliori nello svolgere determinate attività, saranno disponibili nuovi livelli di <Licence>.	A medida que mejores en determinados aspectos, también se desbloquearán nuevos niveles de <Licence>.	Com seu desempenho melhorando ao realizar algumas tarefas, novos níveis de <Licence> ficarão disponíveis.	Belirli görevlerde geliştikçe yeni <Licence> seviyeleri de açılacak.	Je mehr du dich im Erledigen bestimmter Aufgaben verbesserst, desto mehr neue <Licence>-Level werden freigeschaltet.	
GENERIC/CompleteQuest_Response_001_007	Now, let’s see if there is a <Licence> you can apply for right now...	Voyons maintenant s'il y a une <Licence> que tu peux demander tout de suite...	А теперь посмотрим, есть ли <Licence>, на которую можно подать заявку...	来看看你目前可以申请的<Licence>…	じゃあ、今すぐ申請できる<Licence>がないか確認しようか…	이제 당장 신청할 수 있는 <Licence>이 있는지 확인해 볼까...	現在，來看看有沒有什麼你可以申請的<Licence>吧……	เอาละ มาดูกันว่าตอนนี้มี <Licence> อะไรบ้างที่เธอสามารถขอรับได้เลย...	Sekarang, ayo kita lihat apakah ada <Licence> yang bisa kamu minta...	Ora vediamo se c'è una <Licence> che puoi richiedere adesso...	Veamos si puedes solicitar alguna <Licence> ahora mismo…	Agora, vamos ver se há alguma <Licence> para a qual você já possa se candidatar...	Bakalım şu anda başvurabileceğin bir <Licence> var mı...	Mal sehen, ob es eine <Licence> gibt, die du jetzt beantragen könntest …	
GENERIC/CompleteQuest_Response_001_008	I’ll let you decide where the best place for this <itemName> is.	Je vais te laisser décider du meilleur emplacement pour ce(tte) <itemName>.	Тебе решать, где лучшего всего разместить <itemName>.	你可以自行决定这件<itemName>放置在什么地方适合。	この<itemName>をどこに置くかは、お任せするよ。	이 <itemName>에 딱 맞는 곳이 어딘지는 네가 결정하렴.	這個<itemName>要放哪裡，交給你決定。	ฉันจะให้เธอเลือกแล้วกันว่าจะตั้ง <itemName> ที่ไหนดี	Kamu yang menentukan di mana tempat terbaik untuk <itemName> ini.	Lascerò che sia tu a decidere qual è il posto migliore per questa <itemName>.	Te dejaré decidir cuál es el mejor lugar para la <itemName>.	Vou deixar você decidir qual é o melhor local para este <itemName>.	<itemName> için en iyi yerin neresi olacağına sen karar ver.	Ich überlasse es dir, zu entscheiden, wo die beste Stelle für diesen <itemName> ist.	
GENERIC/CompleteQuest_Response_001_009	<haha>Just be sure it's closeby!	<haha>Assure-toi seulement que ce soit à proximité !	<haha>Только убедись, что это поблизости!	<haha>不过别放到太远的位置！	<haha>念のため。すぐそばにだよ！	<haha>가까운 곳이기만 하면 된단다!	<haha>記得放在附近就好！	<haha>ขอแค่อย่าไปอยู่ที่ไหนไกลก็พอ!	<haha>Pastikan lokasinya dekat!	<haha>Assicurati solo che sia nelle vicinanze!	<haha>¡Solo asegúrate de que sea cerca!	<haha>Certifique-se apenas de ser aqui por perto!	<haha>Ama yakında olsun ha!	<haha>Achte nur darauf, dass es in der Nähe ist!	
GENERIC/CompleteQuest_Response_001_010	<glee>We want visitors to feel like part of the <IslandName> community while they are here!	<glee>Nous voulons que les visiteurs sentent qu'ils font partie de la communauté de <IslandName> quand ils sont ici !	<glee>Мы хотим, чтобы посетители ощутили себя частью сообщества острова <IslandName>, пока они здесь!	<glee>希望访客在这里感受到自己是属于<IslandName>社区的一份子！	<glee>お客さんの滞在中には、<IslandName>の一員と思って過ごしてほしいんだ！	<glee>사람들이 이곳에 머무는 동안 <IslandName> 주민이 된 것 같은 기분을 느꼈으면 좋겠구나!	<glee>我們希望遊客在<IslandName>這裡能感受到自己是這個社區的一份子！	<glee>เราอยากให้แขกที่มาเยือนรู้สึกเป็นส่วนหนึ่งของชุมชนเกาะ <IslandName>!	<glee>Kami ingin pengunjung merasa menjadi bagian dari masyarakat <IslandName> saat berada di sini!	<glee>Vogliamo che i visitatori si sentano parte della comunità di <IslandName> mentre sono qui!	<glee>Queremos que los visitantes se sientan parte de la comunidad de <IslandName> mientras estén aquí.	<glee>Nós queremos que os visitantes se sintam parte da comunidade de <IslandName> enquanto estiverem por aqui!	<glee>Ziyaretçiler buraya geldiklerinde <IslandName> topluluğunun bir parçası gibi hissetmelerini istiyoruz!	<glee>Wir möchten, dass sich unsere Besucher auf <IslandName> als Teil der Gemeinschaft fühlen, während sie hier sind!	
GENERIC/CompleteQuest_Response_001_011	Who knows, maybe we can convince him to set up a permanent shop here!	Qui sait, peut-être qu'on arrivera à le convaincre d'installer sa boutique ici de manière permanente !	Кто знает, может быть, мы убедим их обустроить здесь постоянную лавку!	谁知道呢，或许我们能够说服他在此开办永久商店！	なんとも言えないけど、ここに常設ショップを設置するよう説得できるかも知れないよ！	어쩌면 여기 제대로 된 가게를 차리도록 설득할 수 있을지도 몰라!	誰知道呢，也許我們可以說服他在這裡開一家永久的商店！	ไม่แน่ เราอาจจูงใจให้เขาเลือกมาตั้งร้านค้าถาวรที่นี่ก็ได้!	Siapa tahu, mungkin kita bisa meyakinkannya untuk mendirikan toko permanen di sini!	Chissà, forse riusciremo a convincerlo ad aprire qui un negozio permanente!	Quién sabe, quizás podamos convencerlo de que instale una tienda permanente aquí.	Bem, quem sabe conseguimos convencê-lo a abrir uma loja permanente aqui!	Kim bilir, belki onu burada kalıcı bir dükkân açmaya ikna edebiliriz!	Wer weiß, vielleicht können wir ihn davon überzeugen, hier dauerhaft ein Geschäft einzurichten!	
GENERIC/CompleteQuest_Response_001_012	<yes>Be sure to talk to me once you have placed the <itemName>.	<yes>N'oublie pas de revenir me parler une fois que tu auras placé le/la <itemName>.	<yes>Не забудь обратиться ко мне, когда разместишь <itemName>.	<yes>放置完<itemName>后，请记得来找我。	<yes><itemName>を設置したら、また話しかけてくれよ。	<yes><itemName> 배치를 하고 나면 꼭 내게 알려주렴.	<yes>等你放好<itemName>後，記得來找我聊聊喔！	<yes>พอตั้ง <itemName> เสร็จแล้วก็อย่าลืมมาคุยกับฉันนะ	<yes>Pastikan untuk berbicara denganku setelah meletakkan <itemName>.	<yes>Assicurati di parlare con me una volta che hai posizionato il <itemName>.	<yes>Háblame una vez que hayas colocado la <itemName>.	<yes>Volte e fale comigo depois de você ter colocado a <itemName>.	<yes><itemName> yerleştirildikten sonra gelip benimle konuş.	<yes>Sprich mich unbedingt an, wenn du die <itemName> platziert hast.	
GENERIC/DesertBugExhibitSign_Intro_000						#VALUE!									
GENERIC/DidNotGiveAnything_Intro_000						#VALUE!									
GENERIC/DidNotGiveAnything_Intro_001						#VALUE!									
GENERIC/ExhibitSignReadable 1_Intro_000						#VALUE!									
GENERIC/FreshWaterFishExhibitSign_Intro_000						#VALUE!									
GENERIC/Generic_Intro_000	G’day there.	Hé, salut.	Привет!	大家好。	こんにちは。	반가워.	你好啊。	สวัสดี ว่าไง	Hai.	Ciao.	Buen día.	Dia por aí!	Selam.	Hallo.	
GENERIC/Generic_Intro_001	The name’s <myName>.	Je m'appelle <myName>.	Зовут <myName>.	我叫<myName>。	<myName>と呼んでくれ。	내 이름은 <myName>야.	我叫<myName>。	ฉันชื่อ <myName>	Namaku <myName>.	Mi chiamo <myName>.	Mi nombre es <myName>.	O nome é <myName>.	Adım <myName>.	Der Name ist <myName>.	
GENERIC/Generic_Intro_002	I’m <NPCName>’s little brother!	Je suis le petit frère de <NPCName> !	Я младший брат <NPCName>!	我是<NPCName>的弟弟！	<NPCName>の弟なんだ！	<NPCName>의 동생이지!	我是<NPCName>的弟弟！	ฉันเป็นน้องชายของ <NPCName>	Aku adik dari <NPCName>!	Sono il fratello minore di <NPCName>!	Soy el hermano menor de <NPCName>.	Eu sou o irmão mais novo de <NPCName>!	<NPCName>'un küçük kardeşiyim!	Ich bin <NPCName>s kleiner Bruder!	
GENERIC/Generic_Intro_003	<NPCName> said I should come visit <IslandName>.	<NPCName> a dit que je devrais venir visiter <IslandName>.	<NPCName> сказал, что мне надо посетить <IslandName>.	<NPCName>说，我应该来<IslandName>逛逛。	<NPCName>から、<IslandName>に行かなきゃと言われたんだ。	<NPCName> 형이 <IslandName>에 놀러 오라고 하더라.	<NPCName>他說我應該來<IslandName>看看。	<NPCName> บอกให้ฉันมาเยี่ยมเกาะ <IslandName>	<NPCName> bilang aku harus mengunjungi <IslandName>.	<NPCName> ha detto che dovrei venire a visitare <IslandName>.	<NPCName> me dijo que tenía que visitar <IslandName>.	<NPCName> disse que eu deveria visitar <IslandName>.	<NPCName> <IslandName> Adası'nı ziyaret etmemi istedi.	<NPCName> sagte, ich sollte <IslandName> mal einen Besuch abstatten.	
GENERIC/Generic_Intro_004	<no>I wasn’t really up for a vacation.	<no>Je n'avais pas vraiment envie de partir en vacances.	<no>Мне было как-то не до отпуска.	<no>我本来不太想度假。	<no>バカンスに出かけるって気分でじゃなかった。	<no>나는 휴가 갈 기분이 아니었는데.	<no>我其實沒那麼想去度假。	<no>จริงๆ แล้วฉันไม่ได้อยากไปเที่ยวที่ไหนเท่าไหร่	<no>Aku sebenarnya tidak ingin berlibur.	<no>Non avevo molta voglia di una vacanza.	<no>La verdad es que no buscaba unas vacaciones.	<no>Eu não estava muito afim de férias.	<no>Pek tatil havamda değildim.	<no>Eigentlich wollte ich gar nicht Urlaub machen.	
GENERIC/Generic_Intro_005	<haha>As soon as he mentioned the amount of fish you could find here, I was booking a ticket!	<haha>Dès qu'il m'a parlé de la quantité de poissons qu'on trouve ici, j'ai réservé un billet !	<haha>Как только он упомянул, сколько рыбы здесь можно найти, я сразу за билетом!	<haha>但一听到他说这里有超多的鱼类，我马上就定好了票！	<haha>どれだけたくさんの魚がいるかを聞いたらすぐ、チケットを予約したよ！	<haha>근데 형이 여기 물고기가 엄청 많대서, 바로 비행기표를 예약했어!	<haha>他一提到這裡有多少魚可以釣，我馬上就訂票了！	<haha>แต่พอเขาเล่าให้ฟังว่าที่นี่มีปลามากมายขนาดไหน ฉันก็รีบจองตั๋วมาเลย!	<haha>Namun, begitu dia menyebutkan jumlah ikan yang bisa didapatkan di sini, aku langsung memesan tiket!	<haha>Appena mi ha detto quanti pesci si potevano trovare qui, ho subito prenotato un biglietto!	<haha>Cuando mencionó la cantidad de peces que había aquí, ¡no dudé en sacar el billete!	<haha>Mas, assim que ele falou da quantidade de peixes que eu poderia encontrar aqui, eu fui logo reservar a passagem!	<haha>Burada bulabileceğim balık miktarından bahsedince hemen biletimi ayırttım!	<haha>Aber als er erwähnte, wie viele Fische man hier finden kann, habe ich sofort ein Ticket gebucht!	
GENERIC/Generic_Intro_006	A place like this would be perfect for a <FishingComp>.	Un endroit comme celui-ci serait idéal pour un <FishingComp>.	Идеальное место, чтобы устроить <FishingComp>.	像这样的地方很适合举办<FishingComp>。	ここは<FishingComp>に完璧な場所だよ。	이런 곳은 <FishingComp>에 딱이지.	這裡真是辦<FishingComp>的好地方。	สถานที่แบบนี้เหมาะที่จะจัด <FishingComp> มากๆ	Tempat seperti ini akan sangat cocok untuk <FishingComp>.	Un posto come questo sarebbe perfetto per una <FishingComp>.	Este tipo de lugar sería perfecto para una <FishingComp>.	Um lugar assim seria perfeito para uma <FishingComp>.	Böyle bir yer <FishingComp> için mükemmel olur.	Ein Ort wie dieser wäre perfekt für einen <FishingComp>.	
GENERIC/Generic_Intro_007	So I’m hosting one today!	Donc, j'en organise un aujourd'hui !	Так что сегодня будет у меня!	我今天正要举办一场比赛！	そこで、今日開催する！	그래서 내가 오늘 열기로 했어!	所以我今天要來辦一場！	วันนี้ฉันก็เลยจัดงานนี้เสียเลย!	Jadi aku mengadakannya hari ini!	Ecco perché oggi ne organizzo una!	Así que hoy organizaré una.	Portanto, estou organizando uma hoje!	Bugün bir yarışma düzenliyorum!	Darum veranstalte ich heute einen!	
GENERIC/Intro_Intro_000	Ah, <PlayerName>.þ	Ah, <PlayerName>.	А, <PlayerName>.	啊，<PlayerName>。	あぁ、<PlayerName>。	아, <PlayerName>.	啊，<PlayerName>。	อ้าว <PlayerName>	Ah, <PlayerName>.	Ah, <PlayerName>.	Ah, <PlayerName>.	Ah, <PlayerName>!	Ah <PlayerName>.	Ah, <PlayerName>.	
GENERIC/Intro_Intro_001	Am I correct in assuming that you have discovered the incredibly rare <itemName>.	Est-ce que je me trompe en pensant que tu as découvert le très rare <itemName>.	Я верно предполагаю, что тебе удалось обнаружить невероятно редкую <itemName>?	我没猜错的话，你发现了异常罕见的<itemName>。	ひょっとして、とても珍しい<itemName>を見つけたのかな？	엄청나게 희귀한 <itemName> 발견한 것 맞지?	你是不是發現了那個超級稀有的<itemName>？	ถ้าฉันเข้าใจไม่ผิด เธอพบ <itemName> ที่หายากยิ่งแล้วใช่ไหม	Kurasa perkiraanku bahwa kamu sudah menemukan <itemName> yang sangat langka itu benar.	Ho ragione di credere che tu abbia scoperto l'incredibilmente raro <itemName>.	¿Tengo razón al suponer que has descubierto el increíblemente raro <itemName>?	É correto da minha parte supor que você descobriu um <itemName> incrivelmente raro?	İnanılmaz nadir bulunan bir <itemName> keşfetmişsin, yanılıyor muyum yoksa?	Gehe ich recht in der Annahme, dass du das unglaublich seltene <itemName> entdeckt hast?	<itemName> = Berkonium Ore
